Beta,Experiments,MSE_Mean,MSE_STD,MAE_Mean,MAE_STD,MaxError_Mean,MaxError_STD
0.1,7,0.000146,0.000161,0.008224,0.004899,0.031427,0.010896
0.2,7,0.000104,4.5e-05,0.007932,0.002001,0.026869,0.006728
0.3,7,4.4e-05,3.3e-05,0.00525,0.002109,0.022355,0.005969
0.4,7,4.6e-05,1.6e-05,0.00546,0.001398,0.018852,0.002778
0.5,7,2.7e-05,2.1e-05,0.004061,0.001528,0.010935,0.00227
0.6,7,3.5e-05,2.3e-05,0.004794,0.001435,0.011601,0.004092
0.7,7,4e-05,2.1e-05,0.005008,0.001347,0.012984,0.004161
0.8,7,1.8e-05,9e-06,0.00355,0.001057,0.0081,0.002247
0.9,7,1.1e-05,3e-06,0.002808,0.000504,0.007037,0.000765
1.0,7,1.7e-05,1.1e-05,0.003294,0.00111,0.009011,0.001677
