experiment,epochs,learning_rate,batch_size,train_ratio,split_method,seed,optimizer,loss_function,hidden_layers,neurons,activation,amplitude,omega,beta,phase,duration,samples,MSE,MAE,Maximum_error
1,500,0.0005,32,0.8,random,42,Adam,MSELoss,3,128,Tanh,1,2,0.1,0,10,1000,4.20496471633669e-05,0.004874139092862606,0.02263575792312622
2,500,0.0005,32,0.8,random,42,Adam,MSELoss,3,128,Tanh,1,2,0.2,0,10,1000,7.406236545648426e-05,0.006865707691758871,0.021438047289848328
3,500,0.0005,32,0.8,random,42,Adam,MSELoss,3,128,Tanh,1,2,0.3,0,10,1000,1.8681605070014484e-05,0.003415345912799239,0.01653633639216423
4,500,0.0005,32,0.8,random,42,Adam,MSELoss,3,128,Tanh,1,2,0.4,0,10,1000,3.453433237154968e-05,0.004455328918993473,0.018742430955171585
5,500,0.0005,32,0.8,random,42,Adam,MSELoss,3,128,Tanh,1,2,0.5,0,10,1000,1.84431246452732e-05,0.0038219797424972057,0.009824013337492943
6,500,0.0005,32,0.8,random,42,Adam,MSELoss,3,128,Tanh,1,2,0.6,0,10,1000,2.613392825878691e-05,0.004147152416408062,0.009682036936283112
7,500,0.0005,32,0.8,random,42,Adam,MSELoss,3,128,Tanh,1,2,0.7,0,10,1000,6.79920703987591e-05,0.006807359866797924,0.018564820289611816
8,500,0.0005,32,0.8,random,42,Adam,MSELoss,3,128,Tanh,1,2,0.8,0,10,1000,2.073394352919422e-05,0.004035383928567171,0.007946029305458069
9,500,0.0005,32,0.8,random,42,Adam,MSELoss,3,128,Tanh,1,2,0.9,0,10,1000,1.5248304407577962e-05,0.0034961861092597246,0.007184745278209448
10,500,0.0005,32,0.8,random,42,Adam,MSELoss,3,128,Tanh,1,2,1.0,0,10,1000,8.663092557981145e-06,0.0024785231798887253,0.007411658763885498
11,500,0.0005,32,0.8,random,57,Adam,MSELoss,3,128,Tanh,1,2,0.1,0,10,1000,0.00016393038094975054,0.009201773442327976,0.031243499368429184
12,500,0.0005,32,0.8,random,57,Adam,MSELoss,3,128,Tanh,1,2,0.2,0,10,1000,0.00010888598626479506,0.009296990931034088,0.02433132380247116
13,500,0.0005,32,0.8,random,57,Adam,MSELoss,3,128,Tanh,1,2,0.3,0,10,1000,4.797254587174393e-05,0.0057050003670156,0.030285269021987915
14,500,0.0005,32,0.8,random,57,Adam,MSELoss,3,128,Tanh,1,2,0.4,0,10,1000,6.228446000022814e-05,0.006553546991199255,0.023805104196071625
15,500,0.0005,32,0.8,random,57,Adam,MSELoss,3,128,Tanh,1,2,0.5,0,10,1000,1.772260839061346e-05,0.003273176960647106,0.009434301406145096
16,500,0.0005,32,0.8,random,57,Adam,MSELoss,3,128,Tanh,1,2,0.6,0,10,1000,3.4136002796003595e-05,0.004986653570085764,0.011400820687413216
17,500,0.0005,32,0.8,random,57,Adam,MSELoss,3,128,Tanh,1,2,0.7,0,10,1000,2.7898890039068647e-05,0.004155615344643593,0.01102576032280922
18,500,0.0005,32,0.8,random,57,Adam,MSELoss,3,128,Tanh,1,2,0.8,0,10,1000,2.039451828750316e-05,0.0037276744842529297,0.009152859449386597
