Exp,Epochs,Learning rate,Batch size,Train ratio,Split method,Random seed,Optimizer,Loss function,Hidden layers,Neurons per layer,Activation,Delta,Alpha,Beta,Gamma,Omega,Initial Position,Initial Velocity,Duration,Samples,MSE,MAE,Maximum Error,R2 Score
1,500,0.0005,32,0.8,random,42,Adam,MSELoss,3,128,Tanh,0.2,1.0,0.0,0.3,1.2,1.0,0.0,30,3000,0.00036305433604866266,0.014889812096953392,0.06370405852794647,0.9990013837814331
2,500,0.0005,32,0.8,random,42,Adam,MSELoss,3,128,Tanh,0.2,1.0,0.1,0.3,1.2,1.0,0.0,30,3000,0.007432085461914539,0.06448889523744583,0.2321818768978119,0.9824516177177429
3,500,0.0005,32,0.8,random,42,Adam,MSELoss,3,128,Tanh,0.2,1.0,0.5,0.3,1.2,1.0,0.0,30,3000,0.0003349422768224031,0.015152402222156525,0.04589354991912842,0.9994156360626221
4,500,0.0005,32,0.8,random,42,Adam,MSELoss,3,128,Tanh,0.2,1.0,1.0,0.3,1.2,1.0,0.0,30,3000,0.0003841751895379275,0.014209272339940071,0.0634695291519165,0.9990752339363098
5,500,0.0005,32,0.8,random,42,Adam,MSELoss,3,128,Tanh,0.2,1.0,2.0,0.3,1.2,1.0,0.0,30,3000,0.0030962915625423193,0.04392378404736519,0.13671928644180298,0.9879049062728882
1,500,0.0005,32,0.8,random,57,Adam,MSELoss,3,128,Tanh,0.2,1.0,0.0,0.3,1.2,1.0,0.0,30,3000,3.261941674281843e-05,0.004529050085693598,0.016162753105163574,0.9999107122421265
2,500,0.0005,32,0.8,random,57,Adam,MSELoss,3,128,Tanh,0.2,1.0,0.1,0.3,1.2,1.0,0.0,30,3000,0.00011280991020612419,0.007874291390180588,0.03232625126838684,0.9997419118881226
3,500,0.0005,32,0.8,random,57,Adam,MSELoss,3,128,Tanh,0.2,1.0,0.5,0.3,1.2,1.0,0.0,30,3000,0.0004329920338932425,0.01655641943216324,0.06093466281890869,0.9992536306381226
4,500,0.0005,32,0.8,random,57,Adam,MSELoss,3,128,Tanh,0.2,1.0,1.0,0.3,1.2,1.0,0.0,30,3000,0.00039033498615026474,0.014107789844274521,0.05798906087875366,0.9990403056144714
5,500,0.0005,32,0.8,random,57,Adam,MSELoss,3,128,Tanh,0.2,1.0,2.0,0.3,1.2,1.0,0.0,30,3000,8.617365529062226e-05,0.007388173136860132,0.04039052128791809,0.9996513724327087
6,500,0.0005,32,0.8,random,123,Adam,MSELoss,3,128,Tanh,0.2,1.0,0.0,0.3,1.2,1.0,0.0,30,3000,5.6204920838354155e-05,0.004987003281712532,0.04293636977672577,0.9998498558998108
7,500,0.0005,32,0.8,random,123,Adam,MSELoss,3,128,Tanh,0.2,1.0,0.1,0.3,1.2,1.0,0.0,30,3000,0.0002185190242016688,0.009885682724416256,0.07249125838279724,0.9995060563087463
8,500,0.0005,32,0.8,random,123,Adam,MSELoss,3,128,Tanh,0.2,1.0,0.5,0.3,1.2,1.0,0.0,30,3000,0.00016120527288876474,0.008988463319838047,0.07892930507659912,0.9997153878211975
9,500,0.0005,32,0.8,random,123,Adam,MSELoss,3,128,Tanh,0.2,1.0,1.0,0.3,1.2,1.0,0.0,30,3000,9.40573081606999e-05,0.0063521782867610455,0.06352788209915161,0.9997646808624268
10,500,0.0005,32,0.8,random,123,Adam,MSELoss,3,128,Tanh,0.2,1.0,2.0,0.3,1.2,1.0,0.0,30,3000,9.066765778698027e-05,0.007274855859577656,0.05229195952415466,0.9996449947357178
11,500,0.0005,32,0.8,random,999,Adam,MSELoss,3,128,Tanh,0.2,1.0,0.0,0.3,1.2,1.0,0.0,30,3000,5.3648192988475785e-05,0.00584451062604785,0.016354084014892578,0.9998577237129211
12,500,0.0005,32,0.8,random,999,Adam,MSELoss,3,128,Tanh,0.2,1.0,0.1,0.3,1.2,1.0,0.0,30,3000,4.93449333589524e-05,0.005615244619548321,0.02004227042198181,0.9998857975006104
13,500,0.0005,32,0.8,random,999,Adam,MSELoss,3,128,Tanh,0.2,1.0,0.5,0.3,1.2,1.0,0.0,30,3000,0.00034172230516560376,0.0117989806458354,0.06486344337463379,0.9993776082992554
14,500,0.0005,32,0.8,random,999,Adam,MSELoss,3,128,Tanh,0.2,1.0,1.0,0.3,1.2,1.0,0.0,30,3000,0.0006685321568511426,0.018510131165385246,0.07901346683502197,0.9983448386192322
15,500,0.0005,32,0.8,random,999,Adam,MSELoss,3,128,Tanh,0.2,1.0,2.0,0.3,1.2,1.0,0.0,30,3000,0.001131429336965084,0.02777607925236225,0.07408913969993591,0.9954686760902405
1,500,0.0005,32,0.8,random,2026,Adam,MSELoss,3,128,Tanh,0.2,1.0,0.0,0.3,1.2,1.0,0.0,30,3000,0.000528045289684087,0.018878193572163582,0.05490240454673767,0.9985523223876953
2,500,0.0005,32,0.8,random,2026,Adam,MSELoss,3,128,Tanh,0.2,1.0,0.1,0.3,1.2,1.0,0.0,30,3000,4.00581157009583e-05,0.005085202865302563,0.02555648237466812,0.9999082088470459
3,500,0.0005,32,0.8,random,2026,Adam,MSELoss,3,128,Tanh,0.2,1.0,0.5,0.3,1.2,1.0,0.0,30,3000,0.0010935277678072453,0.027054093778133392,0.08673173189163208,0.9982003569602966
4,500,0.0005,32,0.8,random,2026,Adam,MSELoss,3,128,Tanh,0.2,1.0,1.0,0.3,1.2,1.0,0.0,30,3000,0.00013508171832654625,0.009871446527540684,0.03912299871444702,0.9996736645698547
5,500,0.0005,32,0.8,random,2026,Adam,MSELoss,3,128,Tanh,0.2,1.0,2.0,0.3,1.2,1.0,0.0,30,3000,0.00017086821026168764,0.0105126379057765,0.040930211544036865,0.9993154406547546
