Exp,Epochs,Learning rate,Batch size,Train ratio,Split method,Random seed,Optimizer,Loss function,Hidden layers,Neurons per layer,Activation,Delta,Alpha,Beta,Gamma,Omega,Initial Position,Initial Velocity,Duration,Samples,MSE,MAE,Maximum Error,R2 Score
1,500,0.0005,32,0.8,random,42,Adam,MSELoss,3,128,Tanh,0.0,1.0,1.0,0.3,1.2,1.0,0.0,30,3000,0.00015305468696169555,0.00897915754467249,0.04359513521194458,0.9996829032897949
2,500,0.0005,32,0.8,random,42,Adam,MSELoss,3,128,Tanh,0.1,1.0,1.0,0.3,1.2,1.0,0.0,30,3000,7.174414349719882e-05,0.006225206423550844,0.04478171467781067,0.9998476505279541
3,500,0.0005,32,0.8,random,42,Adam,MSELoss,3,128,Tanh,0.2,1.0,1.0,0.3,1.2,1.0,0.0,30,3000,0.0003841751895379275,0.014209272339940071,0.0634695291519165,0.9990752339363098
4,500,0.0005,32,0.8,random,42,Adam,MSELoss,3,128,Tanh,0.5,1.0,1.0,0.3,1.2,1.0,0.0,30,3000,0.0002788795391097665,0.013056190684437752,0.07199972867965698,0.99802166223526
5,500,0.0005,32,0.8,random,42,Adam,MSELoss,3,128,Tanh,1.0,1.0,1.0,0.3,1.2,1.0,0.0,30,3000,5.859911470906809e-05,0.006101638078689575,0.022968044504523277,0.9989755749702454
6,500,0.0005,32,0.8,random,57,Adam,MSELoss,3,128,Tanh,0.0,1.0,1.0,0.3,1.2,1.0,0.0,30,3000,0.00010613496124278754,0.007331321015954018,0.03828047215938568,0.9997828602790833
7,500,0.0005,32,0.8,random,57,Adam,MSELoss,3,128,Tanh,0.1,1.0,1.0,0.3,1.2,1.0,0.0,30,3000,1.3434835636871867e-05,0.0027670639101415873,0.024265408515930176,0.9999710917472839
8,500,0.0005,32,0.8,random,57,Adam,MSELoss,3,128,Tanh,0.2,1.0,1.0,0.3,1.2,1.0,0.0,30,3000,0.00039033498615026474,0.014107789844274521,0.05798906087875366,0.9990403056144714
9,500,0.0005,32,0.8,random,57,Adam,MSELoss,3,128,Tanh,0.5,1.0,1.0,0.3,1.2,1.0,0.0,30,3000,0.00014130724593997002,0.008888551965355873,0.036522477865219116,0.9990304112434387
10,500,0.0005,32,0.8,random,57,Adam,MSELoss,3,128,Tanh,1.0,1.0,1.0,0.3,1.2,1.0,0.0,30,3000,1.5137748050619848e-06,0.0009696556953713298,0.004511833190917969,0.9999709725379944
11,500,0.0005,32,0.8,random,123,Adam,MSELoss,3,128,Tanh,0.0,1.0,1.0,0.3,1.2,1.0,0.0,30,3000,7.11065367795527e-05,0.006176324095577002,0.03546075522899628,0.9998536705970764
12,500,0.0005,32,0.8,random,123,Adam,MSELoss,3,128,Tanh,0.1,1.0,1.0,0.3,1.2,1.0,0.0,30,3000,0.0008470471948385239,0.02085059881210327,0.07417906075716019,0.9981440305709839
13,500,0.0005,32,0.8,random,123,Adam,MSELoss,3,128,Tanh,0.2,1.0,1.0,0.3,1.2,1.0,0.0,30,3000,9.40573081606999e-05,0.0063521782867610455,0.06352788209915161,0.9997646808624268
14,500,0.0005,32,0.8,random,123,Adam,MSELoss,3,128,Tanh,0.5,1.0,1.0,0.3,1.2,1.0,0.0,30,3000,2.5263514544349164e-05,0.0037383357994258404,0.016230136156082153,0.999832808971405
15,500,0.0005,32,0.8,random,123,Adam,MSELoss,3,128,Tanh,1.0,1.0,1.0,0.3,1.2,1.0,0.0,30,3000,4.0228687794297e-06,0.0015861925203353167,0.005309745669364929,0.9999383687973022
16,500,0.0005,32,0.8,random,999,Adam,MSELoss,3,128,Tanh,0.0,1.0,1.0,0.3,1.2,1.0,0.0,30,3000,0.00012756579963024706,0.008552148006856441,0.04814758896827698,0.9997351765632629
17,500,0.0005,32,0.8,random,999,Adam,MSELoss,3,128,Tanh,0.1,1.0,1.0,0.3,1.2,1.0,0.0,30,3000,0.00019830781093332916,0.011472595855593681,0.033117443323135376,0.9995784759521484
18,500,0.0005,32,0.8,random,999,Adam,MSELoss,3,128,Tanh,0.2,1.0,1.0,0.3,1.2,1.0,0.0,30,3000,0.0006685321568511426,0.018510131165385246,0.07901346683502197,0.9983448386192322
19,500,0.0005,32,0.8,random,999,Adam,MSELoss,3,128,Tanh,0.5,1.0,1.0,0.3,1.2,1.0,0.0,30,3000,4.432499554241076e-05,0.005107952281832695,0.017725154757499695,0.9996713399887085
20,500,0.0005,32,0.8,random,999,Adam,MSELoss,3,128,Tanh,1.0,1.0,1.0,0.3,1.2,1.0,0.0,30,3000,3.955488409701502e-06,0.0015288444701582193,0.006432570517063141,0.999925434589386
21,500,0.0005,32,0.8,random,2026,Adam,MSELoss,3,128,Tanh,0.0,1.0,1.0,0.3,1.2,1.0,0.0,30,3000,7.638942770427093e-05,0.006735923234373331,0.0475102961063385,0.9998301863670349
22,500,0.0005,32,0.8,random,2026,Adam,MSELoss,3,128,Tanh,0.1,1.0,1.0,0.3,1.2,1.0,0.0,30,3000,0.0011046082945540547,0.026496941223740578,0.07699840515851974,0.9975072741508484
23,500,0.0005,32,0.8,random,2026,Adam,MSELoss,3,128,Tanh,0.2,1.0,1.0,0.3,1.2,1.0,0.0,30,3000,0.00013508171832654625,0.009871446527540684,0.03912299871444702,0.9996736645698547
24,500,0.0005,32,0.8,random,2026,Adam,MSELoss,3,128,Tanh,0.5,1.0,1.0,0.3,1.2,1.0,0.0,30,3000,1.0002120689023286e-05,0.002563467714935541,0.010843664407730103,0.9999333620071411
25,500,0.0005,32,0.8,random,2026,Adam,MSELoss,3,128,Tanh,1.0,1.0,1.0,0.3,1.2,1.0,0.0,30,3000,0.0001313088578172028,0.00944726075977087,0.024767711758613586,0.9977687001228333
