Exp,Epochs,Learning rate,Batch size,Train ratio,Split method,Random seed,Optimizer,Loss function,Hidden layers,Neurons per layer,Activation,Delta,Alpha,Beta,Gamma,Omega,Initial Position,Initial Velocity,Duration,Samples,MSE,MAE,Maximum Error,R2 Score
1,500,0.0005,32,0.8,random,42,Adam,MSELoss,3,128,Tanh,0.2,1.0,1.0,0.1,1.2,1.0,0.0,30,3000,7.541805825894699e-05,0.0067863161675632,0.02674919366836548,0.9994806051254272
2,500,0.0005,32,0.8,random,42,Adam,MSELoss,3,128,Tanh,0.2,1.0,1.0,0.2,1.2,1.0,0.0,30,3000,0.00042272653081454337,0.016916507855057716,0.10423105955123901,0.9985180497169495
3,500,0.0005,32,0.8,random,42,Adam,MSELoss,3,128,Tanh,0.2,1.0,1.0,0.3,1.2,1.0,0.0,30,3000,0.0003841751895379275,0.014209272339940071,0.0634695291519165,0.9990752339363098
4,500,0.0005,32,0.8,random,42,Adam,MSELoss,3,128,Tanh,0.2,1.0,1.0,0.5,1.2,1.0,0.0,30,3000,6.826668686699122e-05,0.0060519929975271225,0.0492214560508728,0.9998762011528015
5,500,0.0005,32,0.8,random,42,Adam,MSELoss,3,128,Tanh,0.2,1.0,1.0,0.8,1.2,1.0,0.0,30,3000,0.0017559429397806525,0.029249325394630432,0.15164059400558472,0.9974671602249146
6,500,0.0005,32,0.8,random,57,Adam,MSELoss,3,128,Tanh,0.2,1.0,1.0,0.1,1.2,1.0,0.0,30,3000,7.805077075317968e-06,0.002281058579683304,0.00660146027803421,0.9999473690986633
7,500,0.0005,32,0.8,random,57,Adam,MSELoss,3,128,Tanh,0.2,1.0,1.0,0.2,1.2,1.0,0.0,30,3000,0.00018217875913251191,0.010566948913037777,0.035617440938949585,0.9993676543235779
8,500,0.0005,32,0.8,random,57,Adam,MSELoss,3,128,Tanh,0.2,1.0,1.0,0.3,1.2,1.0,0.0,30,3000,0.00039033498615026474,0.014107789844274521,0.05798906087875366,0.9990403056144714
9,500,0.0005,32,0.8,random,57,Adam,MSELoss,3,128,Tanh,0.2,1.0,1.0,0.5,1.2,1.0,0.0,30,3000,0.000245731818722561,0.011727368459105492,0.06569123268127441,0.9995477199554443
10,500,0.0005,32,0.8,random,57,Adam,MSELoss,3,128,Tanh,0.2,1.0,1.0,0.8,1.2,1.0,0.0,30,3000,0.0003409770142752677,0.014450909569859505,0.0517328605055809,0.9995076060295105
11,500,0.0005,32,0.8,random,123,Adam,MSELoss,3,128,Tanh,0.2,1.0,1.0,0.1,1.2,1.0,0.0,30,3000,0.000589432951528579,0.017626430839300156,0.07361097633838654,0.9961447715759277
12,500,0.0005,32,0.8,random,123,Adam,MSELoss,3,128,Tanh,0.2,1.0,1.0,0.2,1.2,1.0,0.0,30,3000,4.663448635255918e-05,0.0052878051064908504,0.035693347454071045,0.9998367428779602
13,500,0.0005,32,0.8,random,123,Adam,MSELoss,3,128,Tanh,0.2,1.0,1.0,0.3,1.2,1.0,0.0,30,3000,9.40573081606999e-05,0.0063521782867610455,0.06352788209915161,0.9997646808624268
14,500,0.0005,32,0.8,random,123,Adam,MSELoss,3,128,Tanh,0.2,1.0,1.0,0.5,1.2,1.0,0.0,30,3000,7.758428546367213e-05,0.006126117892563343,0.04948246479034424,0.9998521208763123
15,500,0.0005,32,0.8,random,123,Adam,MSELoss,3,128,Tanh,0.2,1.0,1.0,0.8,1.2,1.0,0.0,30,3000,0.00011882709804922342,0.007679732516407967,0.05661320686340332,0.9998184442520142
