Exp,Epochs,Learning rate,Batch size,Train ratio,Split method,Random seed,Optimizer,Loss function,Hidden layers,Neurons per layer,Activation,Delta,Alpha,Beta,Gamma,Omega,Initial Position,Initial Velocity,Duration,Samples,MSE,MAE,Maximum Error,R2 Score
1,500,0.0005,32,0.8,random,42,Adam,MSELoss,3,128,Tanh,0.2,1.0,1.0,0.3,0.5,1.0,0.0,30,3000,1.690903809503652e-05,0.0034328950569033623,0.00893150269985199,0.9998301267623901
2,500,0.0005,32,0.8,random,42,Adam,MSELoss,3,128,Tanh,0.2,1.0,1.0,0.3,0.8,1.0,0.0,30,3000,0.0007136818021535873,0.017163535580039024,0.12395241856575012,0.9951463341712952
3,500,0.0005,32,0.8,random,42,Adam,MSELoss,3,128,Tanh,0.2,1.0,1.0,0.3,1.0,1.0,0.0,30,3000,0.00016766184126026928,0.008372810669243336,0.07004982233047485,0.999291718006134
4,500,0.0005,32,0.8,random,42,Adam,MSELoss,3,128,Tanh,0.2,1.0,1.0,0.3,1.2,1.0,0.0,30,3000,0.0003841751895379275,0.014209272339940071,0.0634695291519165,0.9990752339363098
5,500,0.0005,32,0.8,random,42,Adam,MSELoss,3,128,Tanh,0.2,1.0,1.0,0.3,1.5,1.0,0.0,30,3000,0.00015662805526517332,0.009639011695981026,0.03549504280090332,0.9993305802345276
6,500,0.0005,32,0.8,random,57,Adam,MSELoss,3,128,Tanh,0.2,1.0,1.0,0.3,0.5,1.0,0.0,30,3000,5.6231483540614136e-06,0.0018438136903569102,0.008414849638938904,0.9999464154243469
7,500,0.0005,32,0.8,random,57,Adam,MSELoss,3,128,Tanh,0.2,1.0,1.0,0.3,0.8,1.0,0.0,30,3000,0.00013610970927402377,0.00856657512485981,0.051487624645233154,0.9990537166595459
8,500,0.0005,32,0.8,random,57,Adam,MSELoss,3,128,Tanh,0.2,1.0,1.0,0.3,1.0,1.0,0.0,30,3000,6.578553438885137e-05,0.0056803482584655285,0.03350834548473358,0.9997400045394897
9,500,0.0005,32,0.8,random,57,Adam,MSELoss,3,128,Tanh,0.2,1.0,1.0,0.3,1.2,1.0,0.0,30,3000,0.00039033498615026474,0.014107789844274521,0.05798906087875366,0.9990403056144714
10,500,0.0005,32,0.8,random,57,Adam,MSELoss,3,128,Tanh,0.2,1.0,1.0,0.3,1.5,1.0,0.0,30,3000,4.012181670987047e-05,0.005194081459194422,0.023146480321884155,0.9998249411582947
