Exp,Epochs,Learning rate,Batch size,Train ratio,Split method,Random seed,Optimizer,Loss function,Hidden layers,Neurons per layer,Activation,Amplitude,Omega,Beta,Phase,Forcing Amplitude,Forcing Omega,Duration,Samples,MSE,MAE,Maximum Error,R2 Score
2,500,0.0005,32,0.8,random,42,Adam,MSELoss,3,128,Tanh,1,2,1,0,0.5,1.0,10,1000,6.818802376074018e-06,0.001719462452456355,0.010682940483093262,0.9998536109924316
3,500,0.0005,32,0.8,random,42,Adam,MSELoss,3,128,Tanh,1,2,1,0,0.5,1.5,10,1000,7.420431211357936e-05,0.007357335649430752,0.017358364537358284,0.99842369556427
4,500,0.0005,32,0.8,random,42,Adam,MSELoss,3,128,Tanh,1,2,1,0,0.5,1.8,10,1000,1.0613214726618025e-05,0.0024095880798995495,0.010391056537628174,0.9997737407684326
5,500,0.0005,32,0.8,random,42,Adam,MSELoss,3,128,Tanh,1,2,1,0,0.5,1.9,10,1000,5.136997060617432e-06,0.0016610616585239768,0.008203931152820587,0.9998868703842163
6,500,0.0005,32,0.8,random,42,Adam,MSELoss,3,128,Tanh,1,2,1,0,0.5,2.0,10,1000,4.091454229637748e-06,0.0016164869302883744,0.005448650568723679,0.9999057054519653
7,500,0.0005,32,0.8,random,42,Adam,MSELoss,3,128,Tanh,1,2,1,0,0.5,2.1,10,1000,4.079448899574345e-06,0.0014616651460528374,0.007637187838554382,0.9999018907546997
8,500,0.0005,32,0.8,random,42,Adam,MSELoss,3,128,Tanh,1,2,1,0,0.5,2.5,10,1000,1.650250305829104e-05,0.003530074842274189,0.01171913743019104,0.9995489716529846
9,500,0.0005,32,0.8,random,42,Adam,MSELoss,3,128,Tanh,1,2,1,0,0.5,3.0,10,1000,0.0012940947199240327,0.02724696882069111,0.07639655470848083,0.960822582244873
10,500,0.0005,32,0.8,random,123,Adam,MSELoss,3,128,Tanh,1,2,1,0,0.5,0.5,10,1000,2.101986865454819e-05,0.00391088891774416,0.01067894697189331,0.9996616244316101
11,500,0.0005,32,0.8,random,123,Adam,MSELoss,3,128,Tanh,1,2,1,0,0.5,1.0,10,1000,4.19436109950766e-05,0.006307715084403753,0.01437784731388092,0.9993366003036499
12,500,0.0005,32,0.8,random,123,Adam,MSELoss,3,128,Tanh,1,2,1,0,0.5,1.5,10,1000,1.6973435776890256e-05,0.0032630176283419132,0.009805381298065186,0.9997261762619019
13,500,0.0005,32,0.8,random,123,Adam,MSELoss,3,128,Tanh,1,2,1,0,0.5,1.8,10,1000,3.120758628938347e-05,0.003834370756521821,0.017588701099157333,0.9994921088218689
14,500,0.0005,32,0.8,random,123,Adam,MSELoss,3,128,Tanh,1,2,1,0,0.5,1.9,10,1000,3.870502769132145e-05,0.0053377412259578705,0.014071166515350342,0.9993489980697632
15,500,0.0005,32,0.8,random,123,Adam,MSELoss,3,128,Tanh,1,2,1,0,0.5,2.0,10,1000,8.249762322520837e-05,0.007420881185680628,0.02314266934990883,0.9985567927360535
16,500,0.0005,32,0.8,random,123,Adam,MSELoss,3,128,Tanh,1,2,1,0,0.5,2.1,10,1000,1.5166904631769285e-05,0.0028102556243538857,0.01737644523382187,0.9997259378433228
17,500,0.0005,32,0.8,random,123,Adam,MSELoss,3,128,Tanh,1,2,1,0,0.5,2.5,10,1000,4.019844709546305e-05,0.005441857501864433,0.01382586732506752,0.9991998076438904
18,500,0.0005,32,0.8,random,123,Adam,MSELoss,3,128,Tanh,1,2,1,0,0.5,3.0,10,1000,0.0011145896278321743,0.026904895901679993,0.07515677809715271,0.9760410785675049
19,500,0.0005,32,0.8,random,999,Adam,MSELoss,3,128,Tanh,1,2,1,0,0.5,0.5,10,1000,1.648358374950476e-05,0.0033055951353162527,0.007634900510311127,0.9995793700218201
20,500,0.0005,32,0.8,random,999,Adam,MSELoss,3,128,Tanh,1,2,1,0,0.5,1.0,10,1000,1.4929242752259597e-05,0.00280035100877285,0.010025911033153534,0.9996325373649597
21,500,0.0005,32,0.8,random,999,Adam,MSELoss,3,128,Tanh,1,2,1,0,0.5,1.5,10,1000,4.196175359538756e-05,0.005386485252529383,0.013535287231206894,0.9990183711051941
22,500,0.0005,32,0.8,random,999,Adam,MSELoss,3,128,Tanh,1,2,1,0,0.5,1.8,10,1000,3.629614002420567e-05,0.004815718159079552,0.017534375190734863,0.9991325736045837
23,500,0.0005,32,0.8,random,999,Adam,MSELoss,3,128,Tanh,1,2,1,0,0.5,1.9,10,1000,1.3726327779295389e-05,0.002898105653002858,0.009167540818452835,0.9996592402458191
24,500,0.0005,32,0.8,random,999,Adam,MSELoss,3,128,Tanh,1,2,1,0,0.5,2.0,10,1000,5.044311183155514e-05,0.00583417946472764,0.017366662621498108,0.9987054467201233
25,500,0.0005,32,0.8,random,999,Adam,MSELoss,3,128,Tanh,1,2,1,0,0.5,2.1,10,1000,0.00013368623331189156,0.009761273860931396,0.02295868843793869,0.9964880347251892
26,500,0.0005,32,0.8,random,999,Adam,MSELoss,3,128,Tanh,1,2,1,0,0.5,2.5,10,1000,1.5237772458931431e-05,0.002935675671324134,0.011882469058036804,0.9995419383049011
27,500,0.0005,32,0.8,random,999,Adam,MSELoss,3,128,Tanh,1,2,1,0,0.5,3.0,10,1000,0.001492066541686654,0.027888793498277664,0.09025680273771286,0.9491283297538757
28,500,0.0005,32,0.8,random,2026,Adam,MSELoss,3,128,Tanh,1,2,1,0,0.5,0.5,10,1000,1.7177431800519116e-05,0.003410597098991275,0.010076679289340973,0.9994950294494629
29,500,0.0005,32,0.8,random,2026,Adam,MSELoss,3,128,Tanh,1,2,1,0,0.5,1.0,10,1000,5.0426697271177545e-05,0.006143257021903992,0.012963302433490753,0.9986523985862732
30,500,0.0005,32,0.8,random,2026,Adam,MSELoss,3,128,Tanh,1,2,1,0,0.5,1.5,10,1000,2.7713624149328098e-05,0.003991824574768543,0.023599646985530853,0.9992450475692749
31,500,0.0005,32,0.8,random,2026,Adam,MSELoss,3,128,Tanh,1,2,1,0,0.5,1.8,10,1000,1.2321876056375913e-05,0.0026010703295469284,0.015529699623584747,0.9996622800827026
32,500,0.0005,32,0.8,random,2026,Adam,MSELoss,3,128,Tanh,1,2,1,0,0.5,1.9,10,1000,1.0660009138518944e-05,0.0026595157105475664,0.009521827101707458,0.9996957182884216
33,500,0.0005,32,0.8,random,2026,Adam,MSELoss,3,128,Tanh,1,2,1,0,0.5,2.0,10,1000,2.1628442482324317e-05,0.0036118580028414726,0.011371254920959473,0.9993546605110168
34,500,0.0005,32,0.8,random,2026,Adam,MSELoss,3,128,Tanh,1,2,1,0,0.5,2.1,10,1000,2.7705738830263726e-05,0.004274879582226276,0.015601120889186859,0.9991440176963806
35,500,0.0005,32,0.8,random,2026,Adam,MSELoss,3,128,Tanh,1,2,1,0,0.5,2.5,10,1000,1.9802364477072842e-05,0.003508891211822629,0.016982629895210266,0.9993174076080322
36,500,0.0005,32,0.8,random,2026,Adam,MSELoss,3,128,Tanh,1,2,1,0,0.5,3.0,10,1000,0.001193019561469555,0.02663300558924675,0.07089802622795105,0.9527644515037537
37,500,0.0005,32,0.8,random,57,Adam,MSELoss,3,128,Tanh,1,2,1,0,0.5,0.5,10,1000,0.00015385904407594353,0.011740044690668583,0.019582338631153107,0.997153103351593
38,500,0.0005,32,0.8,random,57,Adam,MSELoss,3,128,Tanh,1,2,1,0,0.5,1.0,10,1000,5.242110273684375e-05,0.006634046323597431,0.014245957136154175,0.9990354776382446
39,500,0.0005,32,0.8,random,57,Adam,MSELoss,3,128,Tanh,1,2,1,0,0.5,1.5,10,1000,1.6550086002098396e-05,0.0033402498811483383,0.00994749367237091,0.9996969103813171
40,500,0.0005,32,0.8,random,57,Adam,MSELoss,3,128,Tanh,1,2,1,0,0.5,1.8,10,1000,1.9467081074253656e-05,0.0036519968416541815,0.011041782796382904,0.9996340274810791
41,500,0.0005,32,0.8,random,57,Adam,MSELoss,3,128,Tanh,1,2,1,0,0.5,1.9,10,1000,2.0251693513273494e-06,0.0011663329787552357,0.0036325305700302124,0.9999609589576721
42,500,0.0005,32,0.8,random,57,Adam,MSELoss,3,128,Tanh,1,2,1,0,0.5,2.0,10,1000,4.692397396865999e-06,0.0017148696351796389,0.0060822367668151855,0.999906063079834
43,500,0.0005,32,0.8,random,57,Adam,MSELoss,3,128,Tanh,1,2,1,0,0.5,2.1,10,1000,4.7336485295090824e-05,0.005548163782805204,0.030694760382175446,0.9990126490592957
44,500,0.0005,32,0.8,random,57,Adam,MSELoss,3,128,Tanh,1,2,1,0,0.5,2.5,10,1000,3.064554766751826e-05,0.004285809583961964,0.019703108817338943,0.9992753863334656
45,500,0.0005,32,0.8,random,57,Adam,MSELoss,3,128,Tanh,1,2,1,0,0.5,3.0,10,1000,0.001259833574295044,0.027412693947553635,0.08740102499723434,0.9674752950668335
1,500,0.0005,32,0.8,random,42,Adam,MSELoss,3,128,Tanh,1,2,1,0,0.5,2.5,10,1000,1.650250305829104e-05,0.003530074842274189,0.01171913743019104,0.9995489716529846
2,500,0.0005,32,0.8,random,42,Adam,MSELoss,3,128,Tanh,1,2,1,0,0.5,2.75,10,1000,0.0009330535540357232,0.02365991659462452,0.0634431317448616,0.972892701625824
3,500,0.0005,32,0.8,random,42,Adam,MSELoss,3,128,Tanh,1,2,1,0,0.5,3.0,10,1000,0.0012940947199240327,0.02724696882069111,0.07639655470848083,0.960822582244873
4,500,0.0005,32,0.8,random,42,Adam,MSELoss,3,128,Tanh,1,2,1,0,0.5,3.25,10,1000,0.0010952120646834373,0.025624562054872513,0.0627807229757309,0.9662796854972839
5,500,0.0005,32,0.8,random,42,Adam,MSELoss,3,128,Tanh,1,2,1,0,0.5,3.5,10,1000,0.0007172174518927932,0.021311016753315926,0.0579175129532814,0.9772759079933167
6,500,0.0005,32,0.8,random,42,Adam,MSELoss,3,128,Tanh,1,2,1,0,0.5,4.0,10,1000,0.0004739396972581744,0.01699415035545826,0.04770822823047638,0.9848998785018921
7,500,0.0005,32,0.8,random,123,Adam,MSELoss,3,128,Tanh,1,2,1,0,0.5,2.5,10,1000,4.019844709546305e-05,0.005441857501864433,0.01382586732506752,0.9991998076438904
8,500,0.0005,32,0.8,random,123,Adam,MSELoss,3,128,Tanh,1,2,1,0,0.5,2.75,10,1000,7.878124597482383e-05,0.007642724551260471,0.018492184579372406,0.9983581304550171
9,500,0.0005,32,0.8,random,123,Adam,MSELoss,3,128,Tanh,1,2,1,0,0.5,3.0,10,1000,0.0011145896278321743,0.026904895901679993,0.07515677809715271,0.9760410785675049
10,500,0.0005,32,0.8,random,123,Adam,MSELoss,3,128,Tanh,1,2,1,0,0.5,3.25,10,1000,0.0010046664392575622,0.025286583229899406,0.06588845700025558,0.9780725836753845
11,500,0.0005,32,0.8,random,123,Adam,MSELoss,3,128,Tanh,1,2,1,0,0.5,3.5,10,1000,0.0007377514848485589,0.02122700959444046,0.061765410006046295,0.9835668802261353
12,500,0.0005,32,0.8,random,123,Adam,MSELoss,3,128,Tanh,1,2,1,0,0.5,4.0,10,1000,0.0005258594756014645,0.017994778230786324,0.05110747367143631,0.9881832003593445
13,500,0.0005,32,0.8,random,999,Adam,MSELoss,3,128,Tanh,1,2,1,0,0.5,2.5,10,1000,1.5237772458931431e-05,0.002935675671324134,0.011882469058036804,0.9995419383049011
14,500,0.0005,32,0.8,random,999,Adam,MSELoss,3,128,Tanh,1,2,1,0,0.5,2.75,10,1000,0.0010658683022484183,0.020571889355778694,0.0833965390920639,0.9653619527816772
15,500,0.0005,32,0.8,random,999,Adam,MSELoss,3,128,Tanh,1,2,1,0,0.5,3.0,10,1000,0.001492066541686654,0.027888793498277664,0.09025680273771286,0.9491283297538757
16,500,0.0005,32,0.8,random,999,Adam,MSELoss,3,128,Tanh,1,2,1,0,0.5,3.25,10,1000,0.0009225169778801501,0.0238227229565382,0.06833808124065399,0.9673460125923157
17,500,0.0005,32,0.8,random,999,Adam,MSELoss,3,128,Tanh,1,2,1,0,0.5,3.5,10,1000,0.0008898202213458717,0.02459636889398098,0.05837382376194,0.9676675200462341
18,500,0.0005,32,0.8,random,999,Adam,MSELoss,3,128,Tanh,1,2,1,0,0.5,4.0,10,1000,0.0006531873950734735,0.020042890682816505,0.057634200900793076,0.9754934310913086
19,500,0.0005,32,0.8,random,2026,Adam,MSELoss,3,128,Tanh,1,2,1,0,0.5,2.5,10,1000,1.9802364477072842e-05,0.003508891211822629,0.016982629895210266,0.9993174076080322
20,500,0.0005,32,0.8,random,2026,Adam,MSELoss,3,128,Tanh,1,2,1,0,0.5,2.75,10,1000,0.0018683255184441805,0.030206717550754547,0.11612768471240997,0.9312332272529602
21,500,0.0005,32,0.8,random,2026,Adam,MSELoss,3,128,Tanh,1,2,1,0,0.5,3.0,10,1000,0.001193019561469555,0.02663300558924675,0.07089802622795105,0.9527644515037537
22,500,0.0005,32,0.8,random,2026,Adam,MSELoss,3,128,Tanh,1,2,1,0,0.5,3.25,10,1000,0.0012911480152979493,0.027891865000128746,0.07129725813865662,0.947394847869873
23,500,0.0005,32,0.8,random,2026,Adam,MSELoss,3,128,Tanh,1,2,1,0,0.5,3.5,10,1000,0.0008915144135244191,0.0239380095154047,0.06769873201847076,0.9626786112785339
