Exp,Epochs,Learning rate,Batch size,Train ratio,Split method,Random seed,Optimizer,Loss function,Hidden layers,Neurons per layer,Activation,Gravity,Length,Initial Angle,Initial Angular Velocity,Duration,Samples,MSE,MAE,Maximum Error,R2 Score
1,500,0.0005,32,0.8,random,42,Adam,MSELoss,3,128,Tanh,9.81,1.0,0.1,0.0,10,2000,1.9567109120544046e-05,0.00332752731628716,0.01626666635274887,0.9961758255958557
2,500,0.0005,32,0.8,random,42,Adam,MSELoss,3,128,Tanh,9.81,1.0,0.5,0.0,10,2000,0.00013734489039052278,0.00864285510033369,0.040077999234199524,0.9988860487937927
3,500,0.0005,32,0.8,random,42,Adam,MSELoss,3,128,Tanh,9.81,1.0,1.0,0.0,10,2000,0.004755815491080284,0.05119664967060089,0.15886160731315613,0.9904289245605469
4,500,0.0005,32,0.8,random,42,Adam,MSELoss,3,128,Tanh,9.81,1.0,1.5,0.0,10,2000,0.0001066706026904285,0.008320551365613937,0.03279349207878113,0.9999057650566101
5,500,0.0005,32,0.8,random,42,Adam,MSELoss,3,128,Tanh,9.81,1.0,2.0,0.0,10,2000,0.00016897842579055578,0.009156848303973675,0.05487892031669617,0.9999197125434875
6,500,0.0005,32,0.8,random,57,Adam,MSELoss,3,128,Tanh,9.81,1.0,0.1,0.0,10,2000,2.1232865037745796e-05,0.0034595548640936613,0.011314916424453259,0.9958199858665466
7,500,0.0005,32,0.8,random,57,Adam,MSELoss,3,128,Tanh,9.81,1.0,0.5,0.0,10,2000,6.429526820284082e-06,0.002052508993074298,0.008129596710205078,0.9999483823776245
8,500,0.0005,32,0.8,random,57,Adam,MSELoss,3,128,Tanh,9.81,1.0,1.0,0.0,10,2000,0.0012618473265320063,0.029846856370568275,0.10084569454193115,0.9973998069763184
9,500,0.0005,32,0.8,random,57,Adam,MSELoss,3,128,Tanh,9.81,1.0,1.5,0.0,10,2000,6.629788549616933e-05,0.006470276042819023,0.019417166709899902,0.9999420642852783
10,500,0.0005,32,0.8,random,57,Adam,MSELoss,3,128,Tanh,9.81,1.0,2.0,0.0,10,2000,8.56175902299583e-05,0.006961444392800331,0.043402716517448425,0.9999592900276184
11,500,0.0005,32,0.8,random,123,Adam,MSELoss,3,128,Tanh,9.81,1.0,0.1,0.0,10,2000,8.97571135283215e-06,0.0025442601181566715,0.012568734586238861,0.9982030987739563
12,500,0.0005,32,0.8,random,123,Adam,MSELoss,3,128,Tanh,9.81,1.0,0.5,0.0,10,2000,0.0001858118484960869,0.011036671698093414,0.03970947861671448,0.9985297918319702
13,500,0.0005,32,0.8,random,123,Adam,MSELoss,3,128,Tanh,9.81,1.0,1.0,0.0,10,2000,4.651755443774164e-05,0.004853207617998123,0.024773120880126953,0.9999090433120728
14,500,0.0005,32,0.8,random,123,Adam,MSELoss,3,128,Tanh,9.81,1.0,1.5,0.0,10,2000,0.001875464920885861,0.03308013826608658,0.11386272311210632,0.9982837438583374
15,500,0.0005,32,0.8,random,123,Adam,MSELoss,3,128,Tanh,9.81,1.0,2.0,0.0,10,2000,4.3124262447236106e-05,0.004799474962055683,0.025764286518096924,0.9999792575836182
16,500,0.0005,32,0.8,random,999,Adam,MSELoss,3,128,Tanh,9.81,1.0,0.1,0.0,10,2000,2.18552777369041e-05,0.00360615155659616,0.013672515749931335,0.995701253414154
17,500,0.0005,32,0.8,random,999,Adam,MSELoss,3,128,Tanh,9.81,1.0,0.5,0.0,10,2000,0.00016770517686381936,0.010375705547630787,0.03316390514373779,0.9986855983734131
18,500,0.0005,32,0.8,random,999,Adam,MSELoss,3,128,Tanh,9.81,1.0,1.0,0.0,10,2000,0.0007389740785583854,0.021655473858118057,0.07813718914985657,0.9985989928245544
19,500,0.0005,32,0.8,random,999,Adam,MSELoss,3,128,Tanh,9.81,1.0,1.5,0.0,10,2000,0.0002265545044792816,0.011715391650795937,0.05090683698654175,0.9997973442077637
20,500,0.0005,32,0.8,random,999,Adam,MSELoss,3,128,Tanh,9.81,1.0,2.0,0.0,10,2000,0.008077681064605713,0.07390410453081131,0.2273346483707428,0.9961550831794739
21,500,0.0005,32,0.8,random,2026,Adam,MSELoss,3,128,Tanh,9.81,1.0,0.1,0.0,10,2000,4.8239046009257436e-05,0.004779687151312828,0.030800556764006615,0.9902986288070679
22,500,0.0005,32,0.8,random,2026,Adam,MSELoss,3,128,Tanh,9.81,1.0,0.5,0.0,10,2000,0.00030352454632520676,0.01501389779150486,0.0368046760559082,0.9975454211235046
23,500,0.0005,32,0.8,random,2026,Adam,MSELoss,3,128,Tanh,9.81,1.0,1.0,0.0,10,2000,0.0006041558226570487,0.020785538479685783,0.05176156014204025,0.9987900257110596
24,500,0.0005,32,0.8,random,2026,Adam,MSELoss,3,128,Tanh,9.81,1.0,1.5,0.0,10,2000,0.0009427914046682417,0.022363876923918724,0.08765818923711777,0.9991534352302551
25,500,0.0005,32,0.8,random,2026,Adam,MSELoss,3,128,Tanh,9.81,1.0,2.0,0.0,10,2000,0.0005594161921180785,0.018165338784456253,0.07921336591243744,0.9997344613075256
