Exp,Epochs,Learning rate,Batch size,Train ratio,Split method,Random seed,Optimizer,Loss function,Hidden layers,Neurons per layer,Activation,Gravity,Length,Initial Angle,Initial Angular Velocity,Duration,Samples,MSE,MAE,Maximum Error,R2 Score
1,500,0.0005,32,0.8,random,42,Adam,MSELoss,3,128,Tanh,9.81,1.0,1.0,0.0,5,1000,1.4380520042323042e-05,0.002936744363978505,0.015782535076141357,0.9999702572822571
2,500,0.0005,32,0.8,random,42,Adam,MSELoss,3,128,Tanh,9.81,1.0,1.0,0.0,10,1000,0.0013298296835273504,0.027219252660870552,0.1187170147895813,0.997566819190979
3,500,0.0005,32,0.8,random,42,Adam,MSELoss,3,128,Tanh,9.81,1.0,1.0,0.0,15,1000,0.2612709701061249,0.3549472689628601,1.1813760995864868,0.4728267192840576
4,500,0.0005,32,0.8,random,42,Adam,MSELoss,3,128,Tanh,9.81,1.0,1.0,0.0,20,1000,0.3430483341217041,0.4642399847507477,1.0501405000686646,0.3091135025024414
1,500,0.0005,32,0.8,random,42,Adam,MSELoss,3,128,Tanh,9.81,1.0,1.0,0.0,5,500,1.2927791431138758e-05,0.002604647073894739,0.012381166219711304,0.9999744296073914
2,500,0.0005,32,0.8,random,42,Adam,MSELoss,3,128,Tanh,9.81,1.0,1.0,0.0,10,1000,0.0013298296835273504,0.027219252660870552,0.1187170147895813,0.997566819190979
3,500,0.0005,32,0.8,random,42,Adam,MSELoss,3,128,Tanh,9.81,1.0,1.0,0.0,15,1500,0.16995495557785034,0.2520979344844818,1.012591004371643,0.6590594053268433
1,500,0.0005,32,0.8,random,42,Adam,MSELoss,3,128,Tanh,9.81,1.0,1.0,0.0,5,1000,1.4380520042323042e-05,0.002936744363978505,0.015782535076141357,0.9999702572822571
2,500,0.0005,32,0.8,random,42,Adam,MSELoss,3,128,Tanh,9.81,1.0,1.0,0.0,10,2000,0.004755815491080284,0.05119664967060089,0.15886160731315613,0.9904289245605469
3,500,0.0005,32,0.8,random,42,Adam,MSELoss,3,128,Tanh,9.81,1.0,1.0,0.0,15,3000,0.00016661296831443906,0.009503831155598164,0.05074363946914673,0.9996649026870728
4,500,0.0005,32,0.8,random,42,Adam,MSELoss,3,128,Tanh,9.81,1.0,1.0,0.0,20,4000,0.12747110426425934,0.2006693333387375,1.058972954750061,0.7351566553115845
5,500,0.0005,32,0.8,random,42,Adam,MSELoss,3,128,Tanh,9.81,1.0,1.0,0.0,30,6000,0.08729800581932068,0.1456296443939209,1.0535258054733276,0.8176990747451782
1,500,0.0005,32,0.8,random,57,Adam,MSELoss,3,128,Tanh,9.81,1.0,1.0,0.0,20,3000,0.0015654643066227436,0.030952921137213707,0.13379627466201782,0.9967503547668457
1,500,0.0005,32,0.8,random,42,Adam,MSELoss,3,128,Tanh,9.81,1.0,1.0,0.0,30,6000,0.08729800581932068,0.1456296443939209,1.0535258054733276,0.8176990747451782
1,500,0.0005,32,0.8,random,42,Adam,MSELoss,3,128,Tanh,9.81,1.0,1.0,0.0,30,6000,0.08729800581932068,0.1456296443939209,1.0535258054733276,0.8176990747451782
