Exp,Epochs,Learning rate,Batch size,Train ratio,Split method,Random seed,Optimizer,Loss function,Hidden layers,Neurons per layer,Activation,Gravity,Length,Initial Angle,Initial Angular Velocity,Duration,Samples,MSE,MAE,Maximum Error,R2 Score
1,500,0.0005,32,0.8,random,42,Adam,MSELoss,3,128,Tanh,1.62,1.0,1.0,0.0,10,2000,4.055582394357771e-06,0.0015867467736825347,0.0077800750732421875,0.999991774559021
2,500,0.0005,32,0.8,random,42,Adam,MSELoss,3,128,Tanh,5.0,1.0,1.0,0.0,10,2000,0.001206015469506383,0.02740447036921978,0.085059255361557,0.9974045753479004
3,500,0.0005,32,0.8,random,42,Adam,MSELoss,3,128,Tanh,9.81,1.0,1.0,0.0,10,2000,0.004755815491080284,0.05119664967060089,0.15886160731315613,0.9904289245605469
4,500,0.0005,32,0.8,random,42,Adam,MSELoss,3,128,Tanh,15.0,1.0,1.0,0.0,10,2000,0.00041777052683755755,0.014626109972596169,0.09213177859783173,0.9991235733032227
5,500,0.0005,32,0.8,random,42,Adam,MSELoss,3,128,Tanh,25.0,1.0,1.0,0.0,10,2000,0.09550100564956665,0.19559694826602936,1.147355318069458,0.8104357719421387
6,500,0.0005,32,0.8,random,57,Adam,MSELoss,3,128,Tanh,1.62,1.0,1.0,0.0,10,2000,3.899665443896083e-06,0.0017208203207701445,0.004612177610397339,0.9999915957450867
7,500,0.0005,32,0.8,random,57,Adam,MSELoss,3,128,Tanh,5.0,1.0,1.0,0.0,10,2000,0.00039030626066960394,0.01639457792043686,0.03737521171569824,0.9992371797561646
8,500,0.0005,32,0.8,random,57,Adam,MSELoss,3,128,Tanh,9.81,1.0,1.0,0.0,10,2000,0.0012618473265320063,0.029846856370568275,0.10084569454193115,0.9973998069763184
9,500,0.0005,32,0.8,random,57,Adam,MSELoss,3,128,Tanh,15.0,1.0,1.0,0.0,10,2000,0.002165826503187418,0.028311923146247864,0.1920531839132309,0.9954753518104553
10,500,0.0005,32,0.8,random,57,Adam,MSELoss,3,128,Tanh,25.0,1.0,1.0,0.0,10,2000,0.1346650868654251,0.2159706950187683,1.1057987213134766,0.7340806722640991
11,500,0.0005,32,0.8,random,123,Adam,MSELoss,3,128,Tanh,1.62,1.0,1.0,0.0,10,2000,1.674273562457529e-06,0.0009879316203296185,0.0038400888442993164,0.9999964833259583
12,500,0.0005,32,0.8,random,123,Adam,MSELoss,3,128,Tanh,5.0,1.0,1.0,0.0,10,2000,5.473168130265549e-05,0.0059625874273478985,0.02091968059539795,0.9998965263366699
13,500,0.0005,32,0.8,random,123,Adam,MSELoss,3,128,Tanh,9.81,1.0,1.0,0.0,10,2000,4.651755443774164e-05,0.004853207617998123,0.024773120880126953,0.9999090433120728
14,500,0.0005,32,0.8,random,123,Adam,MSELoss,3,128,Tanh,15.0,1.0,1.0,0.0,10,2000,0.0007094438187777996,0.019967462867498398,0.11025464534759521,0.998551607131958
15,500,0.0005,32,0.8,random,123,Adam,MSELoss,3,128,Tanh,25.0,1.0,1.0,0.0,10,2000,0.13385124504566193,0.22189244627952576,1.1978005170822144,0.7284756302833557
16,500,0.0005,32,0.8,random,999,Adam,MSELoss,3,128,Tanh,1.62,1.0,1.0,0.0,10,2000,6.467483763117343e-05,0.0058195083402097225,0.020677417516708374,0.9998584389686584
17,500,0.0005,32,0.8,random,999,Adam,MSELoss,3,128,Tanh,5.0,1.0,1.0,0.0,10,2000,0.001910490682348609,0.032793398946523666,0.10270553827285767,0.9961336851119995
18,500,0.0005,32,0.8,random,999,Adam,MSELoss,3,128,Tanh,9.81,1.0,1.0,0.0,10,2000,0.0007389740785583854,0.021655473858118057,0.07813718914985657,0.9985989928245544
19,500,0.0005,32,0.8,random,999,Adam,MSELoss,3,128,Tanh,15.0,1.0,1.0,0.0,10,2000,0.0004162706318311393,0.015600873157382011,0.07500296831130981,0.9991521239280701
20,500,0.0005,32,0.8,random,999,Adam,MSELoss,3,128,Tanh,25.0,1.0,1.0,0.0,10,2000,0.12857593595981598,0.19715529680252075,1.0770773887634277,0.7548195123672485
21,500,0.0005,32,0.8,random,2026,Adam,MSELoss,3,128,Tanh,1.62,1.0,1.0,0.0,10,2000,3.0732178402104182e-06,0.001333911088295281,0.004295974969863892,0.9999935626983643
22,500,0.0005,32,0.8,random,2026,Adam,MSELoss,3,128,Tanh,5.0,1.0,1.0,0.0,10,2000,0.0001434058794984594,0.009201719425618649,0.03165888786315918,0.9997082352638245
23,500,0.0005,32,0.8,random,2026,Adam,MSELoss,3,128,Tanh,9.81,1.0,1.0,0.0,10,2000,0.0006041558226570487,0.020785538479685783,0.05176156014204025,0.9987900257110596
24,500,0.0005,32,0.8,random,2026,Adam,MSELoss,3,128,Tanh,15.0,1.0,1.0,0.0,10,2000,0.01009664498269558,0.056112490594387054,0.6653119325637817,0.9796802997589111
25,500,0.0005,32,0.8,random,2026,Adam,MSELoss,3,128,Tanh,25.0,1.0,1.0,0.0,10,2000,0.11599347740411758,0.17626312375068665,1.0770139694213867,0.7617524862289429
