Exp,Epochs,Learning rate,Batch size,Train ratio,Split method,Random seed,Optimizer,Loss function,Hidden layers,Neurons per layer,Activation,Gravity,Length,Initial Angle,Initial Angular Velocity,Duration,Samples,MSE,MAE,Maximum Error,R2 Score
1,500,0.0005,32,0.8,random,42,Adam,MSELoss,3,128,Tanh,9.81,0.5,1.0,0.0,10,2000,0.0017192724626511335,0.02255392260849476,0.3201327323913574,0.9965335726737976
2,500,0.0005,32,0.8,random,42,Adam,MSELoss,3,128,Tanh,9.81,1.0,1.0,0.0,10,2000,0.004755815491080284,0.05119664967060089,0.15886160731315613,0.9904289245605469
3,500,0.0005,32,0.8,random,42,Adam,MSELoss,3,128,Tanh,9.81,2.0,1.0,0.0,10,2000,0.0001928163692355156,0.011051087640225887,0.03068503737449646,0.9995889067649841
4,500,0.0005,32,0.8,random,42,Adam,MSELoss,3,128,Tanh,9.81,3.0,1.0,0.0,10,2000,5.8972964325221255e-05,0.005800198297947645,0.027739673852920532,0.9998806715011597
5,500,0.0005,32,0.8,random,42,Adam,MSELoss,3,128,Tanh,9.81,5.0,1.0,0.0,10,2000,9.603102807886899e-05,0.00731850229203701,0.023781895637512207,0.9998118877410889
6,500,0.0005,32,0.8,random,57,Adam,MSELoss,3,128,Tanh,9.81,0.5,1.0,0.0,10,2000,0.006004649214446545,0.05447600781917572,0.2346680462360382,0.988139271736145
7,500,0.0005,32,0.8,random,57,Adam,MSELoss,3,128,Tanh,9.81,1.0,1.0,0.0,10,2000,0.0012618473265320063,0.029846856370568275,0.10084569454193115,0.9973998069763184
8,500,0.0005,32,0.8,random,57,Adam,MSELoss,3,128,Tanh,9.81,2.0,1.0,0.0,10,2000,0.0003112195117864758,0.01455255039036274,0.05392984300851822,0.9993956089019775
9,500,0.0005,32,0.8,random,57,Adam,MSELoss,3,128,Tanh,9.81,3.0,1.0,0.0,10,2000,0.00014137884136289358,0.010385659523308277,0.02937614917755127,0.9997239112854004
10,500,0.0005,32,0.8,random,57,Adam,MSELoss,3,128,Tanh,9.81,5.0,1.0,0.0,10,2000,2.3560463887406513e-05,0.003976412117481232,0.012854993343353271,0.9999554753303528
11,500,0.0005,32,0.8,random,123,Adam,MSELoss,3,128,Tanh,9.81,0.5,1.0,0.0,10,2000,0.0030592691618949175,0.0430910550057888,0.3661349415779114,0.9939899444580078
12,500,0.0005,32,0.8,random,123,Adam,MSELoss,3,128,Tanh,9.81,1.0,1.0,0.0,10,2000,4.651755443774164e-05,0.004853207617998123,0.024773120880126953,0.9999090433120728
13,500,0.0005,32,0.8,random,123,Adam,MSELoss,3,128,Tanh,9.81,2.0,1.0,0.0,10,2000,0.00020677183056250215,0.01185410376638174,0.031496867537498474,0.9996083974838257
14,500,0.0005,32,0.8,random,123,Adam,MSELoss,3,128,Tanh,9.81,3.0,1.0,0.0,10,2000,0.00028711481718346477,0.014332040213048458,0.03326490521430969,0.999463677406311
15,500,0.0005,32,0.8,random,123,Adam,MSELoss,3,128,Tanh,9.81,5.0,1.0,0.0,10,2000,6.613784989895066e-06,0.001763814827427268,0.012977659702301025,0.9999874234199524
16,500,0.0005,32,0.8,random,999,Adam,MSELoss,3,128,Tanh,9.81,0.5,1.0,0.0,10,2000,0.000704650126863271,0.0205584317445755,0.14583086967468262,0.9985410571098328
17,500,0.0005,32,0.8,random,999,Adam,MSELoss,3,128,Tanh,9.81,1.0,1.0,0.0,10,2000,0.0007389740785583854,0.021655473858118057,0.07813718914985657,0.9985989928245544
18,500,0.0005,32,0.8,random,999,Adam,MSELoss,3,128,Tanh,9.81,2.0,1.0,0.0,10,2000,7.374427514150739e-05,0.006652771960943937,0.021460652351379395,0.9998517036437988
19,500,0.0005,32,0.8,random,999,Adam,MSELoss,3,128,Tanh,9.81,3.0,1.0,0.0,10,2000,9.82090859906748e-05,0.008120355196297169,0.02479374408721924,0.9998083114624023
20,500,0.0005,32,0.8,random,999,Adam,MSELoss,3,128,Tanh,9.81,5.0,1.0,0.0,10,2000,5.734294609283097e-05,0.00575273297727108,0.02987539768218994,0.9998915195465088
21,500,0.0005,32,0.8,random,2026,Adam,MSELoss,3,128,Tanh,9.81,0.5,1.0,0.0,10,2000,0.14587907493114471,0.2133893519639969,1.1880823373794556,0.7208993434906006
22,500,0.0005,32,0.8,random,2026,Adam,MSELoss,3,128,Tanh,9.81,1.0,1.0,0.0,10,2000,0.0006041558226570487,0.020785538479685783,0.05176156014204025,0.9987900257110596
23,500,0.0005,32,0.8,random,2026,Adam,MSELoss,3,128,Tanh,9.81,2.0,1.0,0.0,10,2000,4.403585990075953e-05,0.0051110959611833096,0.0191480815410614,0.9999116659164429
24,500,0.0005,32,0.8,random,2026,Adam,MSELoss,3,128,Tanh,9.81,3.0,1.0,0.0,10,2000,0.00017747018137015402,0.01085552480071783,0.04746869206428528,0.999653160572052
25,500,0.0005,32,0.8,random,2026,Adam,MSELoss,3,128,Tanh,9.81,5.0,1.0,0.0,10,2000,3.9453268982470036e-05,0.004870849661529064,0.01915264129638672,0.9999262690544128
