Exp,Epochs,Learning rate,Batch size,Train ratio,Split method,Random seed,Optimizer,Loss function,Hidden layers,Neurons per layer,Activation,Gravity,Length,Initial Angle,Initial Angular Velocity,Duration,Samples,MSE,MAE,Maximum Error,R2 Score
1,500,0.0005,32,0.8,random,42,Adam,MSELoss,3,128,Tanh,9.81,1.0,1.0,0.0,10,2000,0.004755815491080284,0.05119664967060089,0.15886160731315613,0.9904289245605469
2,500,0.0005,32,0.8,random,42,Adam,MSELoss,3,128,Tanh,9.81,1.0,1.0,0.5,10,2000,0.00037282705307006836,0.013722534291446209,0.08212178945541382,0.9992923140525818
3,500,0.0005,32,0.8,random,42,Adam,MSELoss,3,128,Tanh,9.81,1.0,1.0,1.0,10,2000,0.00022146444825921208,0.009105217643082142,0.10709613561630249,0.9996256232261658
4,500,0.0005,32,0.8,random,42,Adam,MSELoss,3,128,Tanh,9.81,1.0,1.0,1.5,10,2000,7.170115713961422e-05,0.005277395248413086,0.07484161853790283,0.9998950958251953
5,500,0.0005,32,0.8,random,42,Adam,MSELoss,3,128,Tanh,9.81,1.0,1.0,2.0,10,2000,4.88033183501102e-05,0.005029656924307346,0.023162662982940674,0.9999378323554993
6,500,0.0005,32,0.8,random,57,Adam,MSELoss,3,128,Tanh,9.81,1.0,1.0,0.0,10,2000,0.0012618473265320063,0.029846856370568275,0.10084569454193115,0.9973998069763184
7,500,0.0005,32,0.8,random,57,Adam,MSELoss,3,128,Tanh,9.81,1.0,1.0,0.5,10,2000,0.00027056780527345836,0.012134275399148464,0.04438289999961853,0.9994708299636841
8,500,0.0005,32,0.8,random,57,Adam,MSELoss,3,128,Tanh,9.81,1.0,1.0,1.0,10,2000,0.0002101145510096103,0.010844891890883446,0.0429685115814209,0.9996328949928284
9,500,0.0005,32,0.8,random,57,Adam,MSELoss,3,128,Tanh,9.81,1.0,1.0,1.5,10,2000,1.6546731785638258e-05,0.00307174539193511,0.017907142639160156,0.9999752640724182
10,500,0.0005,32,0.8,random,57,Adam,MSELoss,3,128,Tanh,9.81,1.0,1.0,2.0,10,2000,0.0003798989928327501,0.015220964327454567,0.06820502877235413,0.9995213150978088
11,500,0.0005,32,0.8,random,123,Adam,MSELoss,3,128,Tanh,9.81,1.0,1.0,0.0,10,2000,4.651755443774164e-05,0.004853207617998123,0.024773120880126953,0.9999090433120728
12,500,0.0005,32,0.8,random,123,Adam,MSELoss,3,128,Tanh,9.81,1.0,1.0,0.5,10,2000,0.00010326485062250867,0.008206993341445923,0.03180629014968872,0.9998055100440979
13,500,0.0005,32,0.8,random,123,Adam,MSELoss,3,128,Tanh,9.81,1.0,1.0,1.0,10,2000,0.001262993086129427,0.026035184040665627,0.10974344611167908,0.9978183507919312
14,500,0.0005,32,0.8,random,123,Adam,MSELoss,3,128,Tanh,9.81,1.0,1.0,1.5,10,2000,7.648204336874187e-05,0.006161715369671583,0.030867338180541992,0.9998831152915955
15,500,0.0005,32,0.8,random,123,Adam,MSELoss,3,128,Tanh,9.81,1.0,1.0,2.0,10,2000,0.0002461638068780303,0.013173711486160755,0.04469096660614014,0.999673068523407
16,500,0.0005,32,0.8,random,999,Adam,MSELoss,3,128,Tanh,9.81,1.0,1.0,0.0,10,2000,0.0007389740785583854,0.021655473858118057,0.07813718914985657,0.9985989928245544
17,500,0.0005,32,0.8,random,999,Adam,MSELoss,3,128,Tanh,9.81,1.0,1.0,0.5,10,2000,0.0006541379261761904,0.016883715987205505,0.08231189846992493,0.9987977147102356
18,500,0.0005,32,0.8,random,999,Adam,MSELoss,3,128,Tanh,9.81,1.0,1.0,1.0,10,2000,0.000614964752458036,0.01940925046801567,0.07127219438552856,0.9989504814147949
19,500,0.0005,32,0.8,random,999,Adam,MSELoss,3,128,Tanh,9.81,1.0,1.0,1.5,10,2000,1.8050079233944416e-05,0.0032348684035241604,0.011894375085830688,0.9999722242355347
20,500,0.0005,32,0.8,random,999,Adam,MSELoss,3,128,Tanh,9.81,1.0,1.0,2.0,10,2000,0.000924308318644762,0.022960426285862923,0.10645285248756409,0.9987530708312988
21,500,0.0005,32,0.8,random,2026,Adam,MSELoss,3,128,Tanh,9.81,1.0,1.0,0.0,10,2000,0.0006041558226570487,0.020785538479685783,0.05176156014204025,0.9987900257110596
22,500,0.0005,32,0.8,random,2026,Adam,MSELoss,3,128,Tanh,9.81,1.0,1.0,0.5,10,2000,0.00047317109419964254,0.017328208312392235,0.05570274591445923,0.9990847706794739
23,500,0.0005,32,0.8,random,2026,Adam,MSELoss,3,128,Tanh,9.81,1.0,1.0,1.0,10,2000,4.845369767281227e-05,0.004462368320673704,0.031385183334350586,0.9999139308929443
24,500,0.0005,32,0.8,random,2026,Adam,MSELoss,3,128,Tanh,9.81,1.0,1.0,1.5,10,2000,0.0002579820284154266,0.012527312152087688,0.03834378719329834,0.999595582485199
25,500,0.0005,32,0.8,random,2026,Adam,MSELoss,3,128,Tanh,9.81,1.0,1.0,2.0,10,2000,0.0001061758230207488,0.00790722481906414,0.0271930955350399,0.9998576045036316
